"Title: "
"Timeframe: 1991 - 2014"
"Location","1991__Total Health Spending","1992__Total Health Spending","1993__Total Health Spending","1994__Total Health Spending","1995__Total Health Spending","1996__Total Health Spending","1997__Total Health Spending","1998__Total Health Spending","1999__Total Health Spending","2000__Total Health Spending","2001__Total Health Spending","2002__Total Health Spending","2003__Total Health Spending","2004__Total Health Spending","2005__Total Health Spending","2006__Total Health Spending","2007__Total Health Spending","2008__Total Health Spending","2009__Total Health Spending","2010__Total Health Spending","2011__Total Health Spending","2012__Total Health Spending","2013__Total Health Spending","2014__Total Health Spending"
"United States","675896","731455","778684","820172","869578","917540","969531","1026103","1086280","1162035","1261944","1367628","1477697","1587994","1696222","1804672","1918820","2010690","2114221","2194625","2272582","2365948","2435624","2562824"
"Alabama","10393","11284","12028","12742","13590","14450","15462","15860","16451","17504","18619","20209","22491","23797","25338","26638","27700","28765","30095","30728","31398","32848","33788","35263"
"Alaska","1458","1558","1661","1728","1879","2076","2240","2386","2569","2867","3276","3642","3955","4256","4765","5048","5426","5807","6112","6519","6928","7406","7684","8151"
"Arizona","9269","9815","10655","11364","12042","12850","13418","14465","15550","16646","18129","20390","22464","24795","28190","30766","33366","35547","37258","38620","39295","40495","41481","43356"
"Arkansas","5632","6022","6397","6810","7343","7817","8393","8814","9407","10009","10846","11797","12578","13470","14611","15431","16426","17246","18071","18735","19356","20076","20500","21980"
"California","81438","87949","91963","94245","96870","100215","103681","111224","116036","121604","132336","143875","158268","170083","182958","194413","209397","221013","229541","241916","253844","266767","278168","291989"
"Colorado","8460","9215","9803","10382","11153","11863","12572","13790","14764","16307","17669","19123","20690","22103","22867","24849","26525","27797","29246","30187","31372","32726","34090","36398"
"Connecticut","10950","11635","12081","12772","13649","14139","14948","15944","16785","17691","19087","20558","21695","23560","24538","25997","27488","29141","31132","31727","32129","33421","34223","35413"
"Delaware","1938","2111","2285","2489","2655","2772","3026","3207","3539","3760","4051","4462","5042","5498","5899","6285","6735","7191","7495","7938","8365","8650","9038","9587"
"District of Columbia","2800","3098","3240","3255","3285","3362","3374","3461","3578","3611","3828","4118","4355","4766","4971","5138","5492","5779","6182","6582","7000","7130","7443","7871"
"Florida","39430","43041","46123","48886","51568","55090","58706","61558","65516","71581","77621","83895","90733","99100","106293","114162","120960","126977","133067","137609","141462","147685","150547","160624"
"Georgia","16612","18207","19722","20784","22276","23622","24976","26480","27814","29664","31886","35179","37579","41499","43655","47131","49827","50930","53035","53950","56053","59575","62399","66447"
"Hawaii","2959","3163","3439","3710","3972","4246","4263","4446","4570","4712","5031","5463","5943","6391","6967","7275","8023","8503","8810","8860","8993","9469","9781","10338"
"Idaho","2213","2415","2608","2762","3005","3260","3509","3781","4052","4410","4820","5372","5798","6252","6854","7426","7990","8377","8861","9424","9718","10182","10627","11315"
"Illinois","31577","34119","36158","38139","40104","42069","44152","46490","48640","52067","55765","60058","63790","67505","71747","76296","81934","84809","88515","93140","95542","98651","101891","106306"
"Indiana","14272","15552","16754","17425","18302","18747","20220","21574","22993","24524","26618","28700","31157","33705","35391","37908","40055","41200","43867","45352","47476","51306","52046","54741"
"Iowa","7248","7704","8132","8619","9085","9667","10183","11057","11740","12459","13411","14215","15331","16203","17241","18411","19327","20184","21067","21895","22733","23528","24135","25487"
"Kansas","6529","7001","7344","7829","8367","8867","9428","10071","10723","11441","12312","13167","14021","15008","15885","16689","17684","18502","19161","19605","20522","21573","21490","22183"
"Kentucky","8877","9697","10280","10768","11618","12473","13533","14337","15409","16891","18198","19746","20941","22410","23709","25217","26396","27282","28917","29995","31206","31960","33194","35323"
"Louisiana","11259","12286","13170","13926","14578","15125","15920","16532","17437","18101","19207","20513","22229","23953","24866","25573","27532","29353","31253","32848","32765","33618","34639","36324"
"Maine","3152","3326","3567","3719","4052","4395","4752","5151","5604","6021","6595","7231","7952","8644","9233","9760","10243","10725","11114","11338","11720","11961","12139","12684"
"Maryland","13560","14531","15528","16540","17273","18231","19093","19538","20986","22511","24744","27120","29572","31821","33911","36747","39047","40931","43019","44847","46381","47792","48929","51330"
"Massachusetts","20015","21268","22863","23792","25226","26553","28098","30165","31012","33080","36008","39320","42429","45069","47920","51637","55554","58260","61376","63153","64915","67055","68899","71274"
"Michigan","25038","26437","28022","29729","31842","33797","35562","36417","38058","40287","42827","45585","48870","52684","55564","59457","62551","64824","67489","70336","73143","75507","76672","79874"
"Minnesota","11981","12598","13458","14555","15634","16559","17639","19292","20475","22320","24408","26695","28765","30654","32417","34407","36648","37934","39720","41333","42618","43997","45865","48377"
"Mississippi","5650","6060","6570","7077","7761","8339","8947","9334","9714","10618","11660","12621","13505","14708","15653","16826","18083","18931","19572","19729","20351","21995","22017","22879"
"Missouri","13012","14242","15186","16307","17099","18154","19263","20574","21727","23420","25201","27551","29647","31341","32853","33959","37229","39643","41141","42659","44726","46743","47499","49137"
"Montana","1907","2071","2187","2286","2498","2577","2809","2989","3224","3487","3816","4069","4409","4706","5107","5472","5868","6223","6594","6968","7285","7685","8108","8409"
"Nebraska","3790","4113","4352","4630","4901","5325","5621","6026","6461","7101","7846","8422","9080","9789","10491","11300","11883","12540","13038","13769","14213","14808","15197","15823"
"Nevada","3086","3464","3696","4102","4404","4769","5211","5694","6249","6961","7800","8899","9891","11029","11995","12991","14123","14907","15302","15652","16198","16588","17485","19020"
"New Hampshire","2727","2997","3131","3299","3642","3963","4195","4545","4907","5264","5678","6114","6690","7395","8143","8809","9442","9967","10705","11149","11558","11954","12392","12742"
"New Jersey","23100","25192","26597","28432","30305","31420","33093","35003","36634","39968","42382","46075","48847","51857","55670","58264","61598","63759","67653","68477","70263","73373","75148","79066"
"New Mexico","3483","3823","4070","4322","4713","5090","5436","5689","6003","6300","6809","7406","7920","8764","9702","10316","11089","11896","12657","13294","13644","14109","14304","15027"
"New York","58080","62675","67025","70819","74482","78348","81674","86599","91675","96634","104574","112615","122495","130033","135771","143635","150601","155573","164928","170644","175996","177908","183969","192809"
"North Carolina","15352","16855","18457","20015","21733","23678","25569","26873","29178","31979","35823","38117","41272","45033","48395","52192","54832","57844","61730","63235","65703","68932","69157","72160"
"North Dakota","1709","1845","1941","2076","2261","2365","2449","2605","2683","2837","3091","3398","3529","3791","4009","4269","4576","4892","5266","5615","6003","6303","6795","7289"
"Ohio","29348","31928","33903","35399","37365","39749","40948","42515","44823","48017","53074","57585","62078","66341","70218","73333","76591","78831","84413","86841","88339","93242","95866","101013"
"Oklahoma","7512","8178","8559","9187","9910","10590","11013","11582","12266","13006","14236","15214","16653","17525","19040","20416","21924","23357","24179","24993","26205","27386","28097","29575"
"Oregon","6760","7458","7960","8381","9022","9530","10217","11369","12100","12868","14408","15455","16590","17967","19495","21077","22264","23390","24697","25824","26964","27757","29314","31920"
"Pennsylvania","36171","39165","41395","43035","45388","46598","49227","51278","54667","58166","62608","66745","71938","76830","82123","86069","91040","94455","97553","103235","107458","110252","113459","118419"
"Rhode Island","2967","3205","3396","3444","3812","3950","4186","4460","4696","5052","5485","5977","6456","6982","7497","7815","8196","8523","8843","9026","9243","9435","9646","10071"
"South Carolina","8075","8830","9536","10213","10866","11487","12677","13422","14444","15542","17226","18686","20063","21635","23070","24640","26169","27894","29204","30382","31339","32351","33468","35299"
"South Dakota","1707","1825","1924","2089","2269","2435","2595","2728","2967","3145","3319","3674","3956","4180","4564","4900","5208","5556","5919","6289","6649","6955","7221","7616"
"Tennessee","12692","13979","15165","16005","17405","18603","19817","20700","21703","23410","25844","27251","29781","32645","34589","36229","38407","39387","40982","42117","43134","45222","46149","48249"
"Texas","40967","44949","48177","50473","54434","58352","63245","67106","71862","76576","84023","92317","98066","104784","115264","123253","130965","139968","148903","155553","162296","170992","176341","188559"
"Utah","3522","3795","4143","4359","4700","5153","5700","5989","6159","6804","7519","8392","9109","9951","10812","11570","12466","13287","13893","14350","15042","15830","16425","17597"
"Vermont","1330","1421","1522","1625","1793","1894","2026","2172","2388","2647","2891","3181","3546","3803","4080","4319","4548","4758","5068","5314","5562","5827","6221","6389"
"Virginia","14829","15599","16634","17637","18648","19958","21258","22391","23707","26088","27761","30500","33439","36469","39148","41911","44769","47819","51141","53048","55772","58535","60364","62847"
"Washington","12674","13859","14523","15303","16515","17158","17978","19746","21504","22874","24968","27404","29710","31678","34101","36500","39595","42569","45589","47077","48567","51443","53022","55819"
"West Virginia","4672","5159","5550","5891","6304","6632","7031","7343","7671","8079","8803","9494","10227","10960","11643","12258","12996","13482","14360","14760","15336","16270","16622","17491"
"Wisconsin","12694","13669","14636","15532","16601","17702","18628","19640","21373","23165","25692","27691","29639","31881","34078","36475","38529","40442","42586","43867","45511","46158","47030","50109"
"Wyoming","1023","1067","1171","1265","1378","1476","1568","1690","1783","1958","2112","2346","2512","2692","2922","3212","3501","3719","3903","4121","4289","4518","4639","4856"

"Notes"
"The Centers for Medicare and Medicaid Services (CMS) Office of the Actuary produces Health Expenditures by State of Residence and Health Expenditures by State of Provider every five years. The State Health Expenditure Accounts are a subcomponent of the National Health Expenditure Accounts (NHEA), the official government estimates of health spending in the United States.  "
""
"All health spending is displayed in millions of dollars."
""
"Additional information on data and methods is available [here.](http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html)  "
""
"For additional analysis of these data, please see Health Affairs article, [""Health Spending by State, 1991-2014: Measuring Per Capita Spending by Payer and Programs""](http://content.healthaffairs.org/content/early/2017/06/13/hlthaff.2017.0416)."

"Sources"
"Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group. [National Health Expenditure Data: Health Expenditures by State of Residence](https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html), June 2017."

"Definitions"
"*Total Health Spending* includes spending for all privately and publicly funded personal health care services and products (hospital care, physician services, nursing home care, prescription drugs, etc.) by state of residence. Hospital spending is included and reflects the total net revenue (gross charges less contractual adjustments, bad debts, and charity care). Costs such as insurance program administration, research, and construction expenses are not included in this total."


